,author,title,datepublished,isbn13,Title,Author,PublishedDate,ISBN13
3071,,,,,Fury Rising,['Jeyn Roberts'],2016,9781530633319
3072,,,,,Rage Within: Dark Inside Book 2,['Jeyn Roberts'],2012,9781743285817
3073,,,,,Dark Inside (Band 2) - Rage Inside,['Jeyn Roberts'],2013,9783732000609
3074,,,,,Tourists in Space,['Erik Seedhouse'],2008,9780387746449
3075,,,,,Space Radiation and Astronaut Safety,['Erik Seedhouse'],2018,9783319746159
3076,,,,,Pulling G,['Erik Seedhouse'],2012,9781461430292
3077,,,,,SpaceX,['Erik Seedhouse'],2022,9783030991814
3078,,,,,Life Support Systems for Humans in Space,['Erik Seedhouse'],2020,9783030528591
3079,,,,,Trailblazing Medicine,['Erik Seedhouse'],2011,9781441978295
3080,,,,,Mars One,['Erik Seedhouse'],2016,9783319444970
3081,,,,,Beyond Human,['Erik Seedhouse'],2014,9783662435267
3082,,,,,Ocean Outpost,['Erik Seedhouse'],2010,9781441963574
3083,,,,,SpaceX,['Erik Seedhouse'],2013,9781461455141
3084,,,,,Brain Bugs,['Dean Buonomano'],2012,9780393342222
3085,,,,,Your Brain Is a Time Machine,['Dean Buonomano'],2018,9780393355604
3086,,,,,Le temps des neurones,['Dean Buonomano'],2018,9782759822713
3087,,,,,O Cérebro Imperfeito,['Dean Buonomano'],2017,9788535247602
3088,,,,,Brain Bugs,['Dean Buonomano'],2012,9783456851518
3089,,,,,Il tuo cervello è una macchina del tempo,['Dean Buonomano'],2018,9788833931647
3090,,,,,Mozg wladca czasu,['Dean Buonomano'],2019,9788381233743
3091,,,,,Vaš mozak je vremeplov,['Dean Buonomano'],2019,9789533491103
3092,,,,,Beyniniz Bir Zaman Makinesi,['Dean Buonomano'],2018,9786050827187
3093,,,,,T. rex and the Crater of Doom,['Walter Alvarez'],2015,9780691169668
3094,,,,,The Mountains of Saint Francis: Discovering the Geologic Events That Shaped Our Earth,['Walter Alvarez'],2008,9780393070934
3095,,,,,A Most Improbable Journey: A Big History of Our Planet and Ourselves,['Walter Alvarez'],2016,9780393292701
3096,,,,,Walter C. Alvarez,['Walter Clement Alvarez'],1976,9780442203269
3097,,,,,Dr. Walter C. Alvarez on Health and Life,['Walter Clement Alvarez'],1975,9780890410011
3098,,,,,Alvarez on Alvarez,['Walter Clement Alvarez'],1977,9780894070051
3099,,,,,Laredo Lectures on Orthogonal Polynomials and Special Functions,"['Renato Alvarez-Nodarse', 'Francisco Marcellán', 'Walter van Assche']",2004,9781594540097
3100,,,,,Untethered,['Julie Lawson Timmer'],2016,9780698407862
3101,,,,,Mrs. Saint and the Defectives,['Julie Lawson Timmer'],2017,9781477819968
3102,,,,,Five Days Left,['Julie Lawson Timmer'],2014,9780698140868
3103,,,,,Weil du mein Leben bist,['Julie Lawson Timmer'],2017,9783732540402
3104,,,,,"Fünf Tage, die uns bleiben",['Julie Lawson Timmer'],2015,9783732506101
3105,,,,,Cinco Dias,['Julie Lawson Timmer'],2015,9788581636979
3106,,,,,Öt nap,['Julie Lawson Timmer'],2015,9789634051015
3107,,,,,Ein halbes Jahr zum Glück,['Julie Lawson Timmer'],2018,9783732556120
3108,,,,,5 Gün Kala,['Julie Lawson Timmer'],2015,9786058509160
3109,,,,,Cinque giorni ancora,['Julie Lawson Timmer'],2015,9788856638165
